Study Name	Eurofer_WELDS
Sample Name	2022-04-08
Run Name	spot0w_23p7C
Operator	Ben
Date	4/8/2022
Time	13:42
Sign	NEG
Grating Spacing	06.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	13:42:19
	
Time	Amplitude
2.205000E-8	-1.595784E-2
2.210000E-8	-1.606918E-2
2.215000E-8	-1.619594E-2
2.220000E-8	-1.638094E-2
2.225000E-8	-1.663788E-2
2.230000E-8	-1.689483E-2
2.235000E-8	-1.716890E-2
2.240000E-8	-1.742413E-2
2.245000E-8	-1.764510E-2
2.250000E-8	-1.783524E-2
2.255000E-8	-1.797398E-2
2.260000E-8	-1.805107E-2
2.265000E-8	-1.808190E-2
2.270000E-8	-1.804593E-2
2.275000E-8	-1.794144E-2
2.280000E-8	-1.779755E-2
2.285000E-8	-1.762797E-2
2.290000E-8	-1.742241E-2
2.295000E-8	-1.718603E-2
2.300000E-8	-1.698047E-2
2.305000E-8	-1.676978E-2
2.310000E-8	-1.654025E-2
2.315000E-8	-1.635011E-2
2.320000E-8	-1.619423E-2
2.325000E-8	-1.600409E-2
2.330000E-8	-1.580196E-2
2.335000E-8	-1.559127E-2
2.340000E-8	-1.539771E-2
2.345000E-8	-1.519044E-2
2.350000E-8	-1.502600E-2
2.355000E-8	-1.489581E-2
2.360000E-8	-1.483072E-2
2.365000E-8	-1.473822E-2
2.370000E-8	-1.467656E-2
2.375000E-8	-1.465943E-2
2.380000E-8	-1.467656E-2
2.385000E-8	-1.470225E-2
2.390000E-8	-1.479132E-2
2.395000E-8	-1.487012E-2
2.400000E-8	-1.496262E-2
2.405000E-8	-1.509794E-2
2.410000E-8	-1.525896E-2
2.415000E-8	-1.540285E-2
2.420000E-8	-1.554331E-2
2.425000E-8	-1.570433E-2
2.430000E-8	-1.587048E-2
2.435000E-8	-1.603664E-2
2.440000E-8	-1.616854E-2
2.445000E-8	-1.626960E-2
2.450000E-8	-1.631414E-2
2.455000E-8	-1.635182E-2
2.460000E-8	-1.642034E-2
2.465000E-8	-1.645974E-2
2.470000E-8	-1.649742E-2
2.475000E-8	-1.654025E-2
2.480000E-8	-1.655395E-2
2.485000E-8	-1.658307E-2
2.490000E-8	-1.659335E-2
2.495000E-8	-1.655909E-2
2.500000E-8	-1.656080E-2
2.505000E-8	-1.654881E-2
2.510000E-8	-1.649057E-2
2.515000E-8	-1.642548E-2
2.520000E-8	-1.634497E-2
2.525000E-8	-1.623020E-2
2.530000E-8	-1.610344E-2
2.535000E-8	-1.594928E-2
2.540000E-8	-1.575743E-2
2.545000E-8	-1.557414E-2
2.550000E-8	-1.541998E-2
2.555000E-8	-1.530007E-2
2.560000E-8	-1.519901E-2
